"240","3220 COLUMBUS STREET, GROVE CITY, OH, 43123","Match","Exact","3220 COLUMBUS ST, GROVE CITY, OH, 43123","-83.08936378999994,39.88193647600008","218641641","R"
"120","470 HAVENS CORNERS ROAD, GAHANNA, OH, 43230","Match","Exact","470 HAVENS CORNERS RD, GAHANNA, OH, 43230","-82.86442520599996,40.01827783400006","218683504","L"
"241","4456 MORSE ROAD, GAHANNA, OH, 43230","Match","Exact","4456 MORSE RD, GAHANNA, OH, 43230","-82.87406733099994,40.05578773600007","642843531","R"
"121","310 GRANVILLE STREET, GAHANNA, OH, 43230","Match","Exact","310 GRANVILLE ST, GAHANNA, OH, 43230","-82.87015811799995,40.01851080400007","218655670","L"
"242","4131 CLIME ROAD, COLUMBUS, OH, 43228","Match","Exact","4131 CLIME RD, COLUMBUS, OH, 43228","-83.10870354099995,39.93143520800004","135673590","L"
"1","2855 EAST LIVINGSTON AVENUE, COLUMBUS, OH, 43209","Match","Exact","2855 E LIVINGSTON AVE, COLUMBUS, OH, 43209","-82.92079240099997,39.94711392600004","135591272","R"
"122","335 WEST JOHNSTOWN ROAD, GAHANNA, OH, 43230","Match","Exact","335 W JOHNSTOWN RD, GAHANNA, OH, 43230","-82.89022419299994,40.01595002600004","135779426","L"
"243","1500 EAST SEVENTEENTH AVENUE, COLUMBUS, OH, 43219","Match","Exact","1500 E 17TH AVE, COLUMBUS, OH, 43219","-82.96926951699999,40.00007787800007","218653065","L"
"2","5101 JOHNSTOWN ROAD, NEW ALBANY, OH, 43054","Match","Non_Exact","5101 E JOHNSTOWN RD, NEW ALBANY, OH, 43054","-82.83473634899997,40.059415200000046","135782730","L"
"123","122 GALLOWAY ROAD, GALLOWAY, OH, 43119","Match","Exact","122 GALLOWAY RD, GALLOWAY, OH, 43119","-83.15437278399997,39.94861999600005","218698499","L"
"244","5862 SINCLAIR ROAD, COLUMBUS, OH, 43229","Match","Exact","5862 SINCLAIR RD, COLUMBUS, OH, 43229","-82.99756300999996,40.08405086500005","218660518","R"
"3","3857 ALUM CREEK DRIVE, COLUMBUS, OH, 43207","Match","Exact","3857 ALUM CREEK DR, COLUMBUS, OH, 43207","-82.93026184799999,39.889466973000026","135713499","R"
"124","5336 GENDER ROAD, CANAL WINCHESTER, OH, 43110","Match","Exact","5336 GENDER RD, CANAL WINCHESTER, OH, 43110","-82.82646265899996,39.873015354000074","218554567","L"
"245","760 WORTHINGTON WOODS BOULEVARD, WORTHINGTON, OH, 43085","Match","Exact","760 WORTHINGTON WOODS BLVD, WORTHINGTON, OH, 43085","-82.99685609199997,40.11895948100005","135622541","R"
"4","2255 QUAIL CREEK BVLD, GROVE CITY, OH, 43123","Match","Non_Exact","2255 QUAIL CREEK BLVD, GROVE CITY, OH, 43123","-83.06510590299996,39.841523478000056","218639161","R"
"125","220 CLIFFSIDE DRIVE, COLUMBUS, OH, 43202","Match","Exact","220 CLIFFSIDE DR, COLUMBUS, OH, 43202","-83.00603417099995,40.018647599000076","135620776","L"
"246","4142 WESTERVILLE ROAD, COLUMBUS, OH, 43224","Match","Exact","4142 WESTERVILLE RD, COLUMBUS, OH, 43224","-82.94064202099997,40.05420623900005","609088702","L"
"5","393 EAST COLLEGE AVENUE, WESTERVILLE, OH, 43081","Match","Exact","393 E COLLEGE AVE, WESTERVILLE, OH, 43081","-82.91616333899998,40.12583011600003","218687767","R"
"126","120 WEST GOODALE STREET, COLUMBUS, OH, 43215","Match","Exact","120 W GOODALE ST, COLUMBUS, OH, 43215","-83.00524054499994,39.97367559800006","218651104","R"
"247","114 MORSE ROAD, COLUMBUS, OH, 43214","Match","Exact","114 MORSE RD, COLUMBUS, OH, 43214","-83.01617526799998,40.062381068000036","218658798","L"
"6","610 LANCASTER AVENUE, REYNOLDSBURG, OH, 43068","Match","Exact","610 LANCASTER AVE, REYNOLDSBURG, OH, 43068","-82.80860523699994,39.969757198000025","135594957","L"
"127","1170 LANCASTER AVENUE, REYNOLDSBURG, OH, 43068","Match","Exact","1170 LANCASTER AVE, REYNOLDSBURG, OH, 43068","-82.80428617499996,39.95944283400007","135595169","L"
"248","1069 JAEGER STREET, COLUMBUS, OH, 43206","Match","Exact","1069 JAEGER ST, COLUMBUS, OH, 43206","-82.99047197399995,39.942208692000065","218646947","R"
"7","925 WEST MAIN STREET, WESTERVILLE, OH, 43081","Match","Exact","925 W MAIN ST, WESTERVILLE, OH, 43081","-82.96084780499996,40.12518270800007","135778771","L"
"128","6000 JOHNSTOWN ROAD, NEW ALBANY, OH, 43054","Match","Non_Exact","6000 E JOHNSTOWN RD, NEW ALBANY, OH, 43054","-82.81667495199997,40.07763132900004","619521814","R"
"249","4343 DUBLIN ROAD, HILLIARD, OH, 43026","Match","Exact","4343 DUBLIN RD, HILLIARD, OH, 43026","-83.10432668499999,40.047626671000046","218692935","L"
"8","6633 DOUBLETREE AVENUE, COLUMBUS, OH, 43229","Match","Exact","6633 DOUBLETREE AVE, COLUMBUS, OH, 43229","-82.98726662499996,40.10082549200007","135569945","L"
"129","100 EAST SCHROCK ROAD, WESTERVILLE, OH, 43081","Match","Exact","100 E SCHROCK RD, WESTERVILLE, OH, 43081","-82.92212169699997,40.10957079900004","218687017","L"
"9","4760 WINCHESTER PIKE, COLUMBUS, OH, 43232","Match","Exact","4760 WINCHESTER PIKE, COLUMBUS, OH, 43232","-82.87198570699996,39.894945464000045","218703640","L"
"20","455 BEECHWOOD ROAD, COLUMBUS, OH, 43213","Match","Exact","455 BEECHWOOD RD, COLUMBUS, OH, 43213","-82.89325150899998,39.96440919100007","135591597","R"
